ral,hex,description,
RAL 1002,#D2AA6D,Zandgeel,
RAL 1003,#F9A800,Signaalgeel,
RAL 1004,#CDA434,Goudgeel,
RAL 1005,#CB8E00,Honinggeel,
RAL 1006,#E29000,Maisgeel,
RAL 1007,#DC9D00,Narcissengeel,
RAL 1011,#AF804F,Bruinbeige,
RAL 1012,#C7B446,Citroengeel,
RAL 1013,#E3D9C6,Parelwit,
RAL 1014,#E1CC4F,Ivoorkleurig,
RAL 1015,#E6D690,Licht ivoorkleurig,
RAL 1016,#EDFF21,Zwavelgeel,
RAL 1017,#F5D033,Saffraangeel,
RAL 1018,#F8F32B,Zinkgeel,
RAL 1019,#9E9764,Grijsbeige,
RAL 1020,#999950,Olijfgeel,
RAL 1021,#F3DA0B,Koolzaadgeel,
RAL 1023,#FAD201,Verkeersgeel,
RAL 1024,#AEA04B,Okergeel,
RAL 1026,##FFFF00,Briljantgeel,
RAL 1027,#9D9101,Kerriegeel,
RAL 1028,#F4A900,Meloengeel,
RAL 1032,#D6AE01,Bremgeel,
RAL 1033,#F3A505,Dahliageel,
RAL 1034,#EFA94A,Pastelgeel,
RAL 1035,#6A5D4D,Parelmoergrijs,
RAL 1036,#705335,Parelmoergoud,
RAL 1037,#F39F18,Zonnegeel,
RAL 2000,#ED760E,Geeloranje,
RAL 2001,#C93C20,Roodoranje,
RAL 2002,#CB2821,Vermiljoen,
RAL 2003,#FF7514,Pasteloranje,
RAL 2004,#F44611,Zuiver oranje,
RAL 2005,#FF2301,Briljant oranje,
RAL 2007,#FFA420,Briljant lichtoranje,
RAL 2008,#F75E25,Licht roodoranje,
RAL 2009,#F54021,Verkeersoranje,
RAL 2010,#D84B20,Signaaloranje,
RAL 2011,#EC7C26,Dieporanje,
RAL 2012,#E55137,Zalmoranje,
RAL 2013,#C35831,Parelmoeroranje,
RAL 3000,#AF2B1E,Vuurrood,
RAL 3001,#A52019,Signaalrood,
RAL 3002,#A2231D,Karmijnrood,
RAL 3003,#9B111E,Robijnrood,
RAL 3004,#75151E,Purperrood,
RAL 3005,#5E2129,Wijnrood,
RAL 3007,#412227,Zwartrood,
RAL 3009,#642424,Oxyderood,
RAL 3011,#781F19,Bruinrood,
RAL 3012,#C1876B,Beigerood,
RAL 3013,#A12312,Tomaatrood,
RAL 3014,#D36E70,Oudroze,
RAL 3015,#EA899A,Lichtroze,
RAL 3016,#B32821,Koraalrood,
RAL 3017,#E63244,Bleekrood,
RAL 3018,#D53032,Aardbeirood,
RAL 3020,#CC0605,Verkeersrood,
RAL 3022,#D95030,Zalmrood,
RAL 3024,#F80000,Briljantrood,
RAL 3026,#FE0000,Briljant lichtrood,
RAL 3027,#C51D34,Framboosrood,
RAL 3028,#CB3234,Zuiverrood,
RAL 3031,#B32428,Oriëntrood,
RAL 3032,#721422,Parelmoer-donkerrood, 
RAL 3033,#B44C43,Parelmoer- lichtrood,
RAL 4001,#6D3F5B,Roodlila,
RAL 4002,#922B3E,Roodpaars,
RAL 4003,#DE4C8A,Heidepaars,
RAL 4004,#641C34,Bordeauxpaars,
RAL 4005,#6C4675,Blauwlila,
RAL 4006,#A03472,Verkeerspurper,
RAL 4007,#4A192C,Purperviolet,
RAL 4008,#924E7D,Signaalviolet,
RAL 4009,#A18594,Pastelviolet,
RAL 4010,#CF3476,Telemagenta,
RAL 4011,#8673A1,Parelmoer- donkerviolet,
RAL 4012,#6C6874,Parelmoer- lichtviolet,
RAL 5000,#354D73,Paarsblauw,
RAL 5001,#1F3438,Groenblauw,
RAL 5002,#20214F,Ultramarijnblauw,
RAL 5003,#1D1E33,Saffierblauw,
RAL 5004,#18171C,Zwartblauw,
RAL 5005,#1E2460,Signaalblauw,
RAL 5007,#3E5F8A,Briljantblauw,
RAL 5008,#26252D,Grijsblauw,
RAL 5009,#025669,Azuurblauw,
RAL 5010,#0E294B,Gentiaanblauw,
RAL 5011,#231A24,Staalblauw,
RAL 5012,#3B83BD,Lichtblauw,
RAL 5013,#1E213D,Kobaltblauw,
RAL 5014,#606E8C,Duifblauw,
RAL 5015,#2271B3,Hemelsblauw,
RAL 5017,#063971,Verkeersblauw,
RAL 5018,#3F888F,Turkooisblauw,
RAL 5019,#1B5583,Capriblauw,
RAL 5020,#1D334A,Oceaanblauw,
RAL 5021,#256D7B,Waterblauw,
RAL 5022,#252850,Nachtblauw,
RAL 5023,#49678D,Verblauw,
RAL 5024,#5D9B9B,Pastelblauw,
RAL 5025,#2A6478,Parelmoerblauw,
RAL 5026,#102C54,Parelmoer- nachtblauw,
RAL 6000,#316650,Patinagroen,
RAL 6001,#287233,Smaragdgroen,
RAL 6002,#2D572C,Loofgroen,
RAL 6003,#424632,Olijfgroen,
RAL 6004,#1F3A3D,Blauwgroen,
RAL 6005,#2F4538,Mosgroen,
RAL 6006,#3E3B32,Grijs olijfgroen,
RAL 6007,#343B29,Flessegroen,
RAL 6008,#39352A,Bruingroen,
RAL 6009,#31372B,Dennegroen,
RAL 6010,#35682D,Grasgroen,
RAL 6011,#587246,Resedagroen,
RAL 6012,#343E40,Zwartgroen,
RAL 6013,#6C7156,Rietgroen,
RAL 6014,#47402E,Geel olijfgroen,
RAL 6015,#3B3C36,Zwart olijfgroen,
RAL 6016,#1E5945,Turkooisgroen,
RAL 6017,#4C9141,Meigroen,
RAL 6018,#57A639,Geelgroen,
RAL 6019,#BDECB6,Witgroen,
RAL 6020,#2E3A23,Chroom- oxydegroen,
RAL 6021,#89AC76,Bleekgroen,
RAL 6022,#25221B,Bruin olijfgroen,
RAL 6024,#308446,Verkeersgroen,
RAL 6025,#3D642D,Varengroen,
RAL 6026,#015D52,Opaalgroen,
RAL 6027,#84C3BE,Lichtgroen,
RAL 6028,#2C5545,Pijnboomgroen,
RAL 6029,#20603D,Mintgroen,
RAL 6032,#317F43,Signaalgroen,
RAL 6033,#497E76,Mintturquoise,
RAL 6034,#7FB5B5,Pastelturquoise,
RAL 6035,#1C542D,Parelmoer- donkergroen,
RAL 6036,#193737,Parelmoer- lichtgroen,
RAL 6037,#008F39,Zuivergroen,
RAL 6038,#00BB2D,Briljantgroen,
RAL 7000,#78858B,Pelsgrijs,
RAL 7001,#8A9597,Zilvergrijs,
RAL 7002,#7E7B52,Olijfgrijs,
RAL 7003,#6C7059,Mosgrijs,
RAL 7004,#969992,Signaalgrijs,
RAL 7005,#646B63,Muisgrijs,
RAL 7006,#6D6552,Beigegrijs,
RAL 7008,#6A5F31,Kakigrijs,
RAL 7009,#4D5645,Groengrijs,
RAL 7010,#4C514A,Zeildoekgrijs,
RAL 7011,#434B4D,IJzergrijs,
RAL 7012,#4E5754,Bazaltgrijs,
RAL 7013,#464531,Bruingrijs,
RAL 7015,#434750,Leigrijs,
RAL 7016,#293133,Antracietgrijs,
RAL 7021,#23282B,Zwartgrijs,
RAL 7022,#332F2C,Ombergrijs,
RAL 7023,#686C5E,Betongrijs,
RAL 7024,#474A51,Grafietgrijs,
RAL 7026,#2F353B,Granietgrijs,
RAL 7030,#8B8C7A,Steengrijs,
RAL 7031,#474B4E,Blauwgrijs,
RAL 7032,#B8B799,Kiezelgrijs,
RAL 7033,#7D8471,Cementgrijs,
RAL 7034,#8F8B66,Geelgrijs,
RAL 7035,#D7D7D7,Lichtgrijs,
RAL 7036,#7F7679,Platinagrijs,
RAL 7037,#7D7F7D,Stofgrijs,
RAL 7038,#B5B8B1,Agaatgrijs,
RAL 7039,#6C6960,Kwartsgrijs,
RAL 7040,#9DA1AA,Venstergrijs,
